"ServiceDistrict","Status","2019-09-30_N","2019-09-30_Change","2019-12-31_N","2019-12-31_Change","2020-03-31_N","2020-03-31_Change","2020-06-30_N","2020-06-30_Change","2020-09-30_N","2020-09-30_Change","2020-12-31_N","2020-12-31_Change","2021-03-31_N","2021-03-31_Change","2021-06-30_N","2021-06-30_Change","2021-09-30_N","2021-09-30_Change","2021-12-31_N","2021-12-31_Change","2022-03-31_N","2022-03-31_Change","2022-06-30_N","2022-06-30_Change","2022-09-30_N","2022-09-30_Change","2022-12-31_N","2022-12-31_Change","2023-03-31_N","2023-03-31_Change"
"ALL","Active",562,,632,12.4555160142349,692,9.49367088607596,726,4.91329479768785,836,15.1515151515152,949,13.5167464114833,1016,7.06006322444679,1041,2.46062992125984,1072,2.97790585975024,1064,-0.74626865671642,1116,4.88721804511278,1154,3.40501792114696,1207,4.59272097053727,1242,2.89975144987573,1247,0.402576489533013
"ALL","Rate",57.4642126789366,,57.5591985428051,,55.7614826752619,,53.698224852071,,55.3275976174719,,55.9882005899705,,53.4736842105263,,50.7062834875791,,49.2647058823529,,46.8103827540695,,45.944833264718,,45.1663405088063,,44.1639224295646,,43.563661873027,,41.6360601001669,
"ALL","Total",978,,1098,12.2699386503067,1241,13.023679417122,1352,8.94439967767928,1511,11.7603550295858,1695,12.1773659827928,1900,12.094395280236,2053,8.05263157894738,2176,5.99123234291281,2273,4.4577205882353,2429,6.86317641882974,2555,5.18731988472623,2733,6.96673189823875,2851,4.31759970728138,2995,5.05085934759733
"Central North Metro","Active",151,,220,45.6953642384106,271,23.1818181818182,328,21.0332103321033,386,17.6829268292683,460,19.1709844559585,469,1.95652173913043,510,8.74200426439233,488,-4.31372549019607,522,6.9672131147541,522,0,534,2.29885057471264,557,4.30711610486891,550,-1.25673249551167,564,2.54545454545454
"Central North Metro","Rate",62.396694214876,,71.8954248366013,,75.0692520775623,,73.8738738738739,,72.8301886792453,,72.9001584786054,,67.8726483357453,,66.9291338582677,,60.3213844252163,,59.8623853211009,,54.602510460251,,54.0485829959514,,52.6963103122044,,50.2283105022831,,48.5370051635112,
"Central North Metro","Total",242,,306,26.4462809917355,361,17.9738562091503,444,22.9916897506925,530,19.3693693693694,631,19.0566037735849,691,9.50871632329635,762,10.2749638205499,809,6.16797900262467,872,7.78739184177997,956,9.63302752293578,988,3.34728033472804,1057,6.9838056680162,1095,3.59508041627248,1162,6.11872146118722
"Central South Metro","Active",265,,305,15.0943396226415,346,13.4426229508197,357,3.17919075144508,420,17.6470588235294,451,7.38095238095238,454,0.665188470066513,492,8.37004405286343,515,4.67479674796747,531,3.10679611650486,545,2.63653483992468,544,-0.183486238532105,586,7.72058823529411,581,-0.853242320819114,582,0.172117039586928
"Central South Metro","Rate",78.4023668639053,,75.1231527093596,,73.1501057082452,,65.1459854014599,,67.6328502415459,,65.7434402332362,,61.5176151761518,,61.1940298507463,,59.7447795823666,,59.1314031180401,,57.4288724973656,,53.8081107814046,,53.7614678899083,,51.2797881729921,,48.6622073578595,
"Central South Metro","Total",338,,406,20.1183431952663,473,16.5024630541872,548,15.8562367864693,621,13.3211678832117,686,10.4669887278583,738,7.58017492711369,804,8.9430894308943,862,7.2139303482587,898,4.17633410672853,949,5.6792873051225,1011,6.53319283456271,1090,7.81404549950544,1133,3.94495412844036,1196,5.5604589585172
"Goldfields-Esperance","Active",31,,41,32.258064516129,47,14.6341463414634,47,0,68,44.6808510638298,74,8.8235294117647,66,-10.8108108108108,75,13.6363636363636,68,-9.33333333333334,71,4.41176470588236,80,12.6760563380282,82,2.49999999999999,91,10.9756097560976,87,-4.39560439560439,86,-1.14942528735632
"Goldfields-Esperance","Rate",62,,64.0625,,55.952380952381,,50,,59.6491228070175,,56.0606060606061,,47.8260869565217,,48.7012987012987,,37.9888268156425,,39.010989010989,,40.2010050251256,,38.6792452830189,,40.0881057268723,,36.7088607594937,,33.4630350194552,
"Goldfields-Esperance","Total",50,,64,28,84,31.25,94,11.9047619047619,114,21.2765957446809,132,15.7894736842105,138,4.54545454545454,154,11.5942028985507,179,16.2337662337662,182,1.67597765363128,199,9.34065934065933,212,6.53266331658291,227,7.0754716981132,237,4.40528634361232,257,8.43881856540085
"Great Southern","Active",11,,38,245.454545454545,44,15.7894736842105,54,22.7272727272727,69,27.7777777777778,81,17.3913043478261,88,8.64197530864197,94,6.81818181818181,89,-5.31914893617022,91,2.24719101123596,96,5.4945054945055,89,-7.29166666666666,95,6.74157303370786,103,8.42105263157895,95,-7.76699029126213
"Great Southern","Rate",33.3333333333333,,56.7164179104478,,53.6585365853659,,51.9230769230769,,53.90625,,54.3624161073826,,53.3333333333333,,51.0869565217391,,46.3541666666667,,45.049504950495,,39.1836734693878,,34.2307692307692,,35.8490566037736,,35.6401384083045,,30.2547770700637,
"Great Southern","Total",33,,67,103.030303030303,82,22.3880597014925,104,26.8292682926829,128,23.0769230769231,149,16.40625,165,10.7382550335571,184,11.5151515151515,192,4.34782608695652,202,5.20833333333333,245,21.2871287128713,260,6.12244897959184,265,1.92307692307692,289,9.0566037735849,314,8.65051903114187
"Kimberley-Pilbara","Active",62,,87,40.3225806451613,97,11.4942528735632,110,13.4020618556701,103,-6.36363636363636,114,10.6796116504854,109,-4.3859649122807,118,8.25688073394495,132,11.864406779661,117,-11.3636363636364,110,-5.98290598290598,116,5.45454545454545,119,2.58620689655173,134,12.6050420168067,117,-12.6865671641791
"Kimberley-Pilbara","Rate",63.265306122449,,63.5036496350365,,56.7251461988304,,53.6585365853659,,48.8151658767773,,49.1379310344828,,42.7450980392157,,43.0656934306569,,44.2953020134228,,38.2352941176471,,34.375,,36.25,,35.5223880597015,,36.9146005509642,,30,
"Kimberley-Pilbara","Total",98,,137,39.7959183673469,171,24.8175182481752,205,19.8830409356725,211,2.92682926829269,232,9.95260663507109,255,9.91379310344827,274,7.45098039215686,298,8.75912408759123,306,2.68456375838926,320,4.57516339869282,320,0,335,4.6875,363,8.35820895522388,390,7.43801652892562
